Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF;Residência em 31/07/2005, UF (código);Residência em 31/07/2005, UF (ordem);Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Frequência;Observações
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;CE, Ceara;23;6;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;DF, Distrito Federal;53;7;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;GO, Goias;52;9;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;MA, Maranhão;21;10;Unidade da Federação / Município;1;1;64;9
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;PB, Paraíba;25;15;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;115;13
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;RO, Rondônia;11;22;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;153;15
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;443;46
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;649;60
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;AM, Amazonas;13;4;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;BA, Bahia;29;5;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;41;8
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;22;6
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;41;8
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;72;15
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;93;17
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;AL, Alagoas;27;2;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;BA, Bahia;29;5;Unidade da Federação / Município;1;1;468;46
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;CE, Ceara;23;6;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;ES, Espirito Santo;32;8;Unidade da Federação / Município;1;1;60;7
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;GO, Goias;52;9;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;MA, Maranhão;21;10;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;133;15
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;104;10
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;488;47
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;PA, Para;15;14;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;PE, Pernambuco;26;17;Unidade da Federação / Município;1;1;119;11
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;PI, Piauí;22;18;Unidade da Federação / Município;1;1;114;10
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;297;30
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;RN, Rio Grande do Norte;24;20;Unidade da Federação / Município;1;1;102;9
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;941;91
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;RO, Rondônia;11;22;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;543;57
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;1438;140
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;SE, Sergipe;28;26;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;835;75
