Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;MANDIRITUBA;4114302;4114302;1361;159
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;PIÊN;4119103;4119103;532;90
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;PINHAIS;4119152;4119152;9228;919
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;5477;552
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;QUATRO BARRAS;4120804;4120804;1611;263
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;QUITANDINHA;4121208;4121208;686;104
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;1819;175
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;RIO NEGRO;4122305;4122305;1257;145
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;14032;1373
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;TIJUCAS DO SUL;4127601;4127601;840;104
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;TUNAS DO PARANÁ;4127882;4127882;802;180
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;2;2010;8030;31/07/2010;DOUTOR ULYSSES;4128633;4128633;301;49
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;221;82
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
