Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CONTENDA;4106209;4106209;De 75 a 79 anos;17;17;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 25 a 29 anos;7;7;Feminino;2;2;16;6
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 45 a 49 anos;11;11;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 45 a 49 anos;11;11;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 55 a 59 anos;13;13;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 55 a 59 anos;13;13;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 65 a 69 anos;15;15;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 70 a 74 anos;16;16;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 25 a 29 anos;7;7;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 25 a 29 anos;7;7;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 45 a 49 anos;11;11;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 45 a 49 anos;11;11;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 50 a 54 anos;12;12;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 55 a 59 anos;13;13;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 55 a 59 anos;13;13;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 65 a 69 anos;15;15;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;De 65 a 69 anos;15;15;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;LAPA;4113205;4113205;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;LAPA;4113205;4113205;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;LAPA;4113205;4113205;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;LAPA;4113205;4113205;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9235;Município (2010);4119103;PIÊN;4;2010;8030;31/07/2010;LAPA;4113205;4113205;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;LAPA;4113205;4113205;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;LAPA;4113205;4113205;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;5;2010;8030;31/07/2010;LAPA;4113205;4113205;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;LAPA;4113205;4113205;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;3;2010;8030;31/07/2010;LAPA;4113205;4113205;De 30 a 34 anos;8;8;Masculino;1;1;X;X
