Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 45 a 49 anos;11;11;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 50 a 54 anos;12;12;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 50 a 54 anos;12;12;Masculino;1;1;PINHAIS;4119152;4119152;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 50 a 54 anos;12;12;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 55 a 59 anos;13;13;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 60 a 64 anos;14;14;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 60 a 64 anos;14;14;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 65 a 69 anos;15;15;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 70 a 74 anos;16;16;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 70 a 74 anos;16;16;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 75 a 79 anos;17;17;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;1;Região Norte;1;2010;8030;31/07/2010;De 80 a 84 anos;18;18;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;COLOMBO;4105805;4105805;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;CURITIBA;4106902;4106902;82;6
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;CURITIBA;4106902;4106902;232;22
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;CURITIBA;4106902;4106902;149;16
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Feminino;2;2;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Feminino;2;2;CURITIBA;4106902;4106902;181;18
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 15 a 17 anos;4;4;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 15 a 17 anos;4;4;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 15 a 17 anos;4;4;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 15 a 17 anos;4;4;Feminino;2;2;RIO BRANCO DO SUL;4122206;4122206;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 18 a 19 anos;5;5;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 18 a 19 anos;5;5;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 18 a 19 anos;5;5;Masculino;1;1;RIO NEGRO;4122305;4122305;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 18 a 19 anos;5;5;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 20 a 24 anos;6;6;Masculino;1;1;CURITIBA;4106902;4106902;180;18
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 20 a 24 anos;6;6;Feminino;2;2;CONTENDA;4106209;4106209;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 20 a 24 anos;6;6;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 20 a 24 anos;6;6;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
