Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9320;Divisão de Região Metropolitana, colar, etc;2300;RM Curitiba;1;2010;8030;31/07/2010;País estrangeiro;2;2;De 80 a 84 anos;18;18;Feminino;2;2;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;País estrangeiro;2;2;De 45 a 49 anos;11;11;Feminino;2;2;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;País estrangeiro;2;2;De 55 a 59 anos;13;13;Masculino;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;5;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;5;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;5;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4101804;ARAUCÁRIA;5;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;5;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;5;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4102307;BALSA NOVA;6;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4102307;BALSA NOVA;6;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4102307;BALSA NOVA;6;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 65 a 69 anos;15;15;Masculino;1;1;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;7;2010;8030;31/07/2010;País estrangeiro;2;2;De 65 a 69 anos;15;15;Feminino;2;2;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;8;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;8;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;8;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;8;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;8;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;8;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;X;X
