Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;De 55 a 59 anos;13;13;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;De 75 a 79 anos;17;17;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;De 75 a 79 anos;17;17;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 5 a 9 anos;2;2;Feminino;2;2;57;6
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 20 a 24 anos;6;6;Feminino;2;2;44;8
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 25 a 29 anos;7;7;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 45 a 49 anos;11;11;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 45 a 49 anos;11;11;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 50 a 54 anos;12;12;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 55 a 59 anos;13;13;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 55 a 59 anos;13;13;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 65 a 69 anos;15;15;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 65 a 69 anos;15;15;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;De 70 a 74 anos;16;16;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 5 a 9 anos;2;2;Masculino;1;1;221;26
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 5 a 9 anos;2;2;Feminino;2;2;262;26
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 10 a 14 anos;3;3;Masculino;1;1;307;32
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 10 a 14 anos;3;3;Feminino;2;2;233;22
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 15 a 17 anos;4;4;Masculino;1;1;186;16
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 15 a 17 anos;4;4;Feminino;2;2;87;10
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 18 a 19 anos;5;5;Masculino;1;1;77;8
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 18 a 19 anos;5;5;Feminino;2;2;124;12
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 20 a 24 anos;6;6;Masculino;1;1;279;28
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 20 a 24 anos;6;6;Feminino;2;2;227;21
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 25 a 29 anos;7;7;Masculino;1;1;361;31
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 25 a 29 anos;7;7;Feminino;2;2;358;31
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 30 a 34 anos;8;8;Masculino;1;1;349;31
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 30 a 34 anos;8;8;Feminino;2;2;306;30
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 35 a 39 anos;9;9;Masculino;1;1;250;24
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 35 a 39 anos;9;9;Feminino;2;2;211;21
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 40 a 44 anos;10;10;Masculino;1;1;139;15
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 40 a 44 anos;10;10;Feminino;2;2;220;21
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 45 a 49 anos;11;11;Masculino;1;1;166;15
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 45 a 49 anos;11;11;Feminino;2;2;210;19
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 50 a 54 anos;12;12;Masculino;1;1;61;6
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 50 a 54 anos;12;12;Feminino;2;2;56;6
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 55 a 59 anos;13;13;Masculino;1;1;69;6
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 55 a 59 anos;13;13;Feminino;2;2;96;9
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 65 a 69 anos;15;15;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 65 a 69 anos;15;15;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 75 a 79 anos;17;17;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 75 a 79 anos;17;17;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 80 a 84 anos;18;18;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;De 80 a 84 anos;18;18;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 25 a 29 anos;7;7;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTAMIRA DO PARANÁ;4100459;4100459;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTÔNIA;4100509;4100509;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTÔNIA;4100509;4100509;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTÔNIA;4100509;4100509;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTÔNIA;4100509;4100509;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTÔNIA;4100509;4100509;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTÔNIA;4100509;4100509;De 70 a 74 anos;16;16;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTO PARANÁ;4100608;4100608;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTO PARANÁ;4100608;4100608;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTO PARANÁ;4100608;4100608;De 45 a 49 anos;11;11;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTO PARANÁ;4100608;4100608;De 45 a 49 anos;11;11;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTO PIQUIRI;4100707;4100707;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTO PIQUIRI;4100707;4100707;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALTO PIQUIRI;4100707;4100707;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALVORADA DO SUL;4100806;4100806;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALVORADA DO SUL;4100806;4100806;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALVORADA DO SUL;4100806;4100806;De 70 a 74 anos;16;16;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ALVORADA DO SUL;4100806;4100806;De 80 a 84 anos;18;18;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;AMPÉRE;4101002;4101002;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANAHY;4101051;4101051;De 15 a 17 anos;4;4;Feminino;2;2;X;X
